"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Test APP","","Sat Jul 05 22:57:56 WIB 2025","passed","Sat Jul 05 22:57:56 WIB 2025","","Appium test APP","",""
"","7181","input element text entry name dan password","","Sun Jul 06 21:22:19 WIB 2025","passed","Sun Jul 06 21:22:26 WIB 2025","","Appium test APP","",""
